Номер теста,Сетка,Кол-во ячеек сетки,кол-во ребер сетки,кол-во вершин сетки,сколько ячеек в листе,включен ли ESC,Вершин bvh,Глубина bvh,сбалансированность bvh,Время подготовки,Время построения
1,small_sphere_double,160,240,84,5,False,79,6,0.67,0.0027298927307128906,0.01516270637512207
2,small_sphere_double,160,240,84,1,False,319,9,0.72,0.00109100341796875,0.024265050888061523
3,small_sphere_double,160,240,84,5,False,81,6,0.50,0.0010161399841308594,0.017098188400268555
4,small_sphere_double,160,240,84,1,False,319,9,0.61,0.0010271072387695312,0.025533199310302734
5,small_sphere_double,160,240,84,5,True,79,6,0.67,0.001010894775390625,0.015065193176269531
6,small_sphere_double,160,240,84,1,True,319,9,0.72,0.0010271072387695312,0.023466110229492188
7,small_sphere_double,160,240,84,5,True,81,6,0.50,0.0010089874267578125,0.01683211326599121
8,small_sphere_double,160,240,84,1,True,319,9,0.61,0.0009987354278564453,0.02528095245361328
9,sphere_double,7680,11520,3844,5,False,4297,13,0.79,0.038305044174194336,1.3959648609161377
10,sphere_double,7680,11520,3844,1,False,15359,16,0.91,0.041404008865356445,1.8218376636505127
11,sphere_double,7680,11520,3844,5,False,4089,13,0.64,0.041554927825927734,1.6933329105377197
12,sphere_double,7680,11520,3844,1,False,15359,16,0.71,0.03838086128234863,1.9997022151947021
13,sphere_double,7680,11520,3844,5,True,4297,13,0.79,0.038175106048583984,1.3995132446289062
14,sphere_double,7680,11520,3844,1,True,15359,16,0.91,0.040937185287475586,1.8276188373565674
15,sphere_double,7680,11520,3844,5,True,4089,13,0.64,0.03838491439819336,1.5871810913085938
16,sphere_double,7680,11520,3844,1,True,15359,16,0.71,0.03902077674865723,2.0571651458740234
17,bunny_double,9982,14976,4996,5,False,5423,15,0.93,0.052618980407714844,1.8903939723968506
18,bunny_double,9982,14976,4996,1,False,19963,18,1.02,0.11269497871398926,2.383504867553711
19,bunny_double,9982,14976,4996,5,False,5417,14,0.91,0.05087733268737793,2.181488037109375
20,bunny_double,9982,14976,4996,1,False,19963,17,1.01,0.05376291275024414,2.7121620178222656
21,bunny_double,9982,14976,4996,5,True,5423,15,0.93,0.05061507225036621,1.8895900249481201
22,bunny_double,9982,14976,4996,1,True,19963,18,1.02,0.05066490173339844,2.450488805770874
23,bunny_double,9982,14976,4996,5,True,5417,14,0.91,0.05483889579772949,2.2802250385284424
24,bunny_double,9982,14976,4996,1,True,19963,17,1.01,0.0514979362487793,2.7768728733062744
