Номер теста,Сетка,Кол-во ячеек сетки,кол-во ребер сетки,кол-во вершин сетки,сколько ячеек в листе,включен ли ESC,функция разбиения,найдено пар для коррекции,кол-во невозможных пар,кол-во проверенных пар checked_pairs,кол-во пар найденных без checheked_pairs,cумма кол-во пар найденных пар и списка checheked_pairs,кол-во пар найденных до классификации bvh,кол-во пар найденных без классификации,время обхода с учетом классификации
1,small_sphere_double,160,240,84,5,False,VAH,38,0,3619,7088,4563,944,40,0.16956496238708496
2,small_sphere_double,160,240,84,1,False,VAH,38,0,1419,2368,2363,944,40,0.19065427780151367
3,small_sphere_double,160,240,84,5,False,SAH,38,0,4016,7874,4960,944,40,0.17330503463745117
4,small_sphere_double,160,240,84,1,False,SAH,38,0,1465,2368,2409,944,40,0.19508981704711914
5,small_sphere_double,160,240,84,5,True,VAH,38,0,3619,7088,4491,872,40,0.16833209991455078
6,small_sphere_double,160,240,84,1,True,VAH,38,0,1419,2368,2291,872,40,0.18525171279907227
7,small_sphere_double,160,240,84,5,True,SAH,38,0,4016,7874,4888,872,40,0.23196792602539062
8,small_sphere_double,160,240,84,1,True,SAH,38,0,1465,2368,2337,872,40,0.19096684455871582
9,sphere_double,7680,11520,3844,5,False,VAH,292,0,129051,247366,173762,44711,334,7.996754169464111
10,sphere_double,7680,11520,3844,1,False,VAH,292,0,70350,112462,115061,44711,334,9.38691520690918
11,sphere_double,7680,11520,3844,5,False,SAH,292,0,136202,260784,180913,44711,334,7.991728067398071
12,sphere_double,7680,11520,3844,1,False,SAH,292,0,71767,112462,116478,44711,334,9.448161125183105
13,sphere_double,7680,11520,3844,5,True,VAH,292,0,129046,247366,171688,42642,334,8.053970098495483
14,sphere_double,7680,11520,3844,1,True,VAH,292,0,70334,112462,112976,42642,334,9.301416158676147
15,sphere_double,7680,11520,3844,5,True,SAH,292,0,136192,260784,178834,42642,334,8.242924213409424
16,sphere_double,7680,11520,3844,1,True,SAH,292,0,71736,112462,114378,42642,334,9.350357055664062
17,bunny_double,9982,14976,4996,5,False,VAH,944,0,208823,399856,266938,58115,980,11.282329797744751
18,bunny_double,9982,14976,4996,1,False,VAH,944,0,99676,146170,157791,58115,980,13.172952890396118
19,bunny_double,9982,14976,4996,5,False,SAH,944,0,205975,394150,264090,58115,980,10.939913034439087
20,bunny_double,9982,14976,4996,1,False,SAH,944,0,99721,146170,157836,58115,980,13.120366096496582
21,bunny_double,9982,14976,4996,5,True,VAH,944,0,208823,399856,263447,54624,980,11.693361759185791
22,bunny_double,9982,14976,4996,1,True,VAH,944,0,99676,146170,154300,54624,980,13.382834911346436
23,bunny_double,9982,14976,4996,5,True,SAH,944,0,205975,394150,260599,54624,980,11.654719829559326
24,bunny_double,9982,14976,4996,1,True,SAH,944,0,99721,146170,154345,54624,980,13.104719877243042
