Тест,Сетка,"Общее время, сек","Подготовка, сек","Построение, сек","Обход, сек",Ячеек,Рёбер,Вершин,Пар для коррекции,ESC,Функция разбиения,Ячеек в листе
19,small_sphere_double,0.052216529846191406,0.0023941993713378906,0.0165560245513916,0.033266305923461914,160,240,84,0,True,SAH,5
20,sphere_double,3.863844871520996,0.037445783615112305,1.4891331195831299,2.337265968322754,7680,11520,3844,0,True,SAH,5
21,bunny_double,68.60195779800415,0.05264997482299805,1.2247250080108643,67.32458281517029,9982,14976,4996,0,True,SAH,5
22,small_sphere_double,0.04315590858459473,0.0016551017761230469,0.023187875747680664,0.018312931060791016,160,240,84,0,True,SAH,1
23,sphere_double,3.9756295680999756,0.040660858154296875,1.5147678852081299,2.420200824737549,7680,11520,3844,0,True,SAH,1
24,bunny_double,69.39523124694824,0.04858708381652832,1.2019670009613037,68.14467716217041,9982,14976,4996,0,True,SAH,1
1,small_sphere_double,0.0454709529876709,0.0013949871063232422,0.014410972595214844,0.029664993286132812,160,240,84,0,False,VAH,5
2,sphere_double,9.983030557632446,0.03923392295837402,1.0324797630310059,8.911316871643066,7680,11520,3844,0,False,VAH,5
3,bunny_double,272.5290005207062,0.04854083061218262,0.5200197696685791,271.9604399204254,9982,14976,4996,0,False,VAH,5
4,small_sphere_double,0.045014381408691406,0.0018050670623779297,0.01775527000427246,0.025454044342041016,160,240,84,0,False,VAH,1
5,sphere_double,9.846426010131836,0.041687965393066406,1.031883955001831,8.772854089736938,7680,11520,3844,0,False,VAH,1
6,bunny_double,213.8780963420868,0.04830312728881836,0.519517183303833,213.31027603149414,9982,14976,4996,0,False,VAH,1
7,small_sphere_double,0.05470681190490723,0.0017969608306884766,0.016637802124023438,0.03627204895019531,160,240,84,0,False,SAH,5
8,sphere_double,3.89139986038208,0.03956770896911621,1.4896080493927002,2.3622241020202637,7680,11520,3844,0,False,SAH,5
9,bunny_double,68.66607785224915,0.048081159591674805,1.1867117881774902,67.43128490447998,9982,14976,4996,0,False,SAH,5
13,small_sphere_double,0.045083045959472656,0.0010759830474853516,0.014063119888305664,0.02994394302368164,160,240,84,0,True,VAH,5
14,sphere_double,10.131670236587524,0.03636908531188965,1.0250821113586426,9.070219039916992,7680,11520,3844,0,True,VAH,5
15,bunny_double,210.4927840232849,0.04830312728881836,0.5148987770080566,209.92958211898804,9982,14976,4996,0,True,VAH,5
16,small_sphere_double,0.04415535926818848,0.0019860267639160156,0.017428159713745117,0.024741172790527344,160,240,84,0,True,VAH,1
17,sphere_double,10.079423189163208,0.03970003128051758,1.0253210067749023,9.014402151107788,7680,11520,3844,0,True,VAH,1
18,bunny_double,210.31917333602905,0.04819607734680176,0.5148811340332031,209.75609612464905,9982,14976,4996,0,True,VAH,1
10,small_sphere_double,0.04393506050109863,0.0019881725311279297,0.02331089973449707,0.018635988235473633,160,240,84,0,False,SAH,1
11,sphere_double,3.9100680351257324,0.03980708122253418,1.5044958591461182,2.36576509475708,7680,11520,3844,0,False,SAH,1
12,bunny_double,68.24684429168701,0.04812431335449219,1.1852948665618896,67.01342511177063,9982,14976,4996,0,False,SAH,1
